t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
437,선일여자중학교,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현동 240-1,N,3,2,0,0,0,0,66,3,0,선일여자중학교,02-355-0161,(평일)09:00~18:00,37.61971637,126.9127997,2020-01-01,3110000,서울특별시 은평구,0,0
438,선일이비즈니스고등학교,서울특별시 은평구 갈현로29길 27,,N,4,5,0,0,0,0,68,4,0,선일이비즈니스고등학교,02-355-5648,(평일)09:00~18:00,37.61971637,126.9127997,2020-01-01,3110000,서울특별시 은평구,0,0
439,선일초등학교,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현동 240-1,N,13,16,0,0,0,0,21,0,0,선일초등학교,02-355-7655,(평일)09:00~18:00,37.61971637,126.9127997,2020-01-01,3110000,서울특별시 은평구,0,0
440,선정중학교,서울특별시 은평구 서오릉로20길 19,서울특별시 은평구 갈현동 227-5,N,15,22,1,0,0,0,27,0,0,선정중학교,02-3156-1400,(평일)09:00~18:00,37.61870442,126.9090313,2020-01-01,3110000,서울특별시 은평구,0,0
441,세명컴퓨터고등학교,서울특별시 은평구 통일로92가길 33,서울특별시 은평구 불광동 445-35,N,22,30,0,0,0,0,21,0,0,세명컴퓨터고등학교,02-354-1323,(평일)09:00~18:00,37.62777125,126.9232486,2020-01-01,3110000,서울특별시 은평구,0,0
442,수리초등학교,서울특별시 은평구 연서로 364,서울특별시 은평구 불광동 17,N,28,42,0,0,0,0,63,0,0,수리초등학교,02-353-9430,(평일)09:00~18:00,37.62770673,126.929597,2020-01-01,3110000,서울특별시 은평구,0,0
443,수색119안전센터,서울특별시 은평구 수색로 320,,N,1,2,0,0,0,0,1,0,0,은평소방서,02-307-0041,연중무휴,37.58523619,126.8899245,2020-01-01,3110000,서울특별시 은평구,0,0
444,수색동주민센터,서울특별시 은평구 수색로 280,서울특별시 은평구 수색동 363-11,N,2,4,0,0,0,0,2,0,0,서울특별시 은평구청,02-351-5422,(평일)09:00~18:00,37.58352053,126.8936722,2020-01-01,3110000,서울특별시 은평구,0,0
445,수색센터,서울특별시 은평구 수색로 402,서울특별시 은평구 수색동 403,N,1,1,0,0,0,0,1,0,0,수색치안센터,02-372-7840,연중무휴,37.59068617,126.8832361,2020-01-01,3110000,서울특별시 은평구,0,0
446,녹번파출소,서울특별시 은평구 통일로 684,서울특별시 은평구 녹번동 115-2,N,1,1,0,0,0,0,2,0,0,녹번파출소,02-355-7112,연중무휴,37.60940534,126.9349554,2020-01-01,3110000,서울특별시 은평구,0,0
447,뉴타운1지구 공원관리 화장실,서울특별시 은평구 진관4로 48-25,서울특별시 은평구 진관동 15-19,N,1,2,1,0,0,0,2,1,0,서울특별시 은평구청,02-351-8005,(평일)09:00~18:00,37.64421599,126.9289424,2020-01-01,3110000,서울특별시 은평구,0,0
448,대성고등학교,서울특별시 은평구 갈현로29길 51-24,서울특별시 은평구 갈현동 산53-1,N,30,51,1,0,0,0,5,0,0,대성고등학교,02-6252-1000,(평일)09:00~18:00,37.62316997,126.9093611,2020-01-01,3110000,서울특별시 은평구,0,0
